CWE,Total Solutions,Number of Duplicates,Number of Problematic Solutions,Manual Prune
codeql-eg-WeakFilePermissions,21,16,0,Yes
codeql-eg-TarSlip,22,20,0,Yes
codeql-eg-Python-TaintedPath,42,23,0,Yes
codeql-eg-python-CommandInjection,48,26,0,Yes
codeql-eq-ReflectedXss,33,31,0,Yes
codeql-eg-HardcodedCredentials-c,16,12,0,Yes
codeql-eg-HardcodedCredentials-b,29,20,0,Yes
codeql-eg-HardcodedCredentials-a,36,27,0,Yes
codeql-eg-SqlInjection-a,37,21,0,Yes
codeql-eg-IncompleteUrlSubstringSanitization,8,4,0
codeql-eg-UnsafeDeserialization-c,39,14,0
codeql-eg-UnsafeDeserialization-b,46,9,0
codeql-eg-UnsafeDeserialization-a,45,22,0
