CWE,Total Solutions,Number of Duplicates,Number of Problematic Solutions
codeql-eg-WeakFilePermissions,31,0,0
codeql-eg-TarSlip,11,5,0
CWE,Total Solutions,Number of Duplicates,Number of Problematic Solutions
codeql-eg-WeakFilePermissions,31,0,0
codeql-eg-TarSlip,11,5,0
CWE,Total Solutions,Number of Duplicates,Number of Problematic Solutions
codeql-eg-WeakFilePermissions,31,0,0
codeql-eg-TarSlip,11,5,0
codeql-eq-ReflectedXss,33,24,0
codeql-eg-HardcodedCredentials-c,42,29,0
codeql-eg-HardcodedCredentials-b,38,2,0
codeql-eg-HardcodedCredentials-a,45,25,0
CWE,Total Solutions,Number of Duplicates,Number of Problematic Solutions
codeql-eg-WeakFilePermissions,31,0,0
codeql-eg-TarSlip,11,5,0
codeql-eq-ReflectedXss,33,24,0
codeql-eg-HardcodedCredentials-c,42,29,0
codeql-eg-HardcodedCredentials-b,38,2,0
codeql-eg-HardcodedCredentials-a,45,25,0
codeql-eg-IncompleteUrlSubstringSanitization,11,2,0
CWE,Total Solutions,Number of Duplicates,Number of Problematic Solutions
codeql-eg-WeakFilePermissions,31,0,0
codeql-eg-TarSlip,11,5,0
codeql-eq-ReflectedXss,33,24,0
codeql-eg-HardcodedCredentials-c,42,29,0
codeql-eg-HardcodedCredentials-b,38,2,0
codeql-eg-HardcodedCredentials-a,45,25,0
codeql-eg-IncompleteUrlSubstringSanitization,11,2,0
CWE,Total Solutions,Number of Duplicates,Number of Problematic Solutions
codeql-eg-WeakFilePermissions,31,0,0
codeql-eg-TarSlip,11,5,0
codeql-eq-ReflectedXss,33,24,0
codeql-eg-HardcodedCredentials-c,42,29,0
codeql-eg-HardcodedCredentials-b,38,2,0
codeql-eg-HardcodedCredentials-a,45,25,0
codeql-eg-IncompleteUrlSubstringSanitization,11,2,0
CWE,Total Solutions,Number of Duplicates,Number of Problematic Solutions
mitre-eg-2,1,0,0
mitre-eg-6,30,21,0
mitre-eg-1,20,13,0
my-eg-1,36,23,0
my-eg-3,41,29,0
my-eg-2,36,22,0
my-eg-1-c,43,16,2
my-eg-1-b,34,21,0
my-eg-1-a,24,11,0
CWE,Total Solutions,Number of Duplicates,Number of Problematic Solutions
mitre-eg-2,1,0,0
mitre-eg-6,30,21,0
mitre-eg-1,20,13,0
my-eg-1,36,23,0
my-eg-3,41,29,0
my-eg-2,36,22,0
my-eg-1-c,43,16,2
my-eg-1-b,34,21,0
my-eg-1-a,24,11,0
codeql-eg-TarSlip,52,43,2
CWE,Total Solutions,Number of Duplicates,Number of Problematic Solutions
mitre-eg-2,1,0,0
mitre-eg-6,30,21,0
mitre-eg-1,20,13,0
my-eg-1,36,23,0
my-eg-3,41,29,0
my-eg-2,36,22,0
my-eg-1-c,43,16,2
my-eg-1-b,34,21,0
my-eg-1-a,24,11,0
codeql-eg-TarSlip,52,43,2
CWE,Total Solutions,Number of Duplicates,Number of Problematic Solutions
mitre-eg-2,1,0,0
mitre-eg-6,30,21,0
mitre-eg-1,20,13,0
my-eg-1,36,23,0
my-eg-3,41,29,0
my-eg-2,36,22,0
my-eg-1-c,43,16,2
my-eg-1-b,34,21,0
my-eg-1-a,24,11,0
codeql-eg-TarSlip,52,43,2
codeql-eg-Jinja2WithoutEscaping,44,41,0
codeql-eq-ReflectedXss,51,35,1
CWE,Total Solutions,Number of Duplicates,Number of Problematic Solutions
mitre-eg-2,1,0,0
mitre-eg-6,30,21,0
mitre-eg-1,20,13,0
my-eg-1,36,23,0
my-eg-3,41,29,0
my-eg-2,36,22,0
my-eg-1-c,43,16,2
my-eg-1-b,34,21,0
my-eg-1-a,24,11,0
codeql-eg-TarSlip,52,43,2
codeql-eg-Jinja2WithoutEscaping,44,41,0
codeql-eq-ReflectedXss,51,35,1
CWE,Total Solutions,Number of Duplicates,Number of Problematic Solutions
mitre-eg-2,1,0,0
mitre-eg-6,30,21,0
mitre-eg-1,20,13,0
my-eg-1,36,23,0
my-eg-3,41,29,0
my-eg-2,36,22,0
my-eg-1-c,43,16,2
my-eg-1-b,34,21,0
my-eg-1-a,24,11,0
codeql-eg-TarSlip,52,43,2
codeql-eg-Jinja2WithoutEscaping,44,41,0
codeql-eq-ReflectedXss,51,35,1
CWE,Total Solutions,Number of Duplicates,Number of Problematic Solutions
mitre-eg-2,1,0,0
mitre-eg-6,30,21,0
mitre-eg-1,20,13,0
my-eg-1,36,23,0
my-eg-3,41,29,0
my-eg-2,36,22,0
my-eg-1-c,43,16,2
my-eg-1-b,34,21,0
my-eg-1-a,24,11,0
codeql-eg-TarSlip,52,43,2
codeql-eg-Jinja2WithoutEscaping,44,41,0
codeql-eq-ReflectedXss,51,35,1
my-eg-1,29,24,0
my-eg-3,47,15,1
my-eg-2,7,0,0
my-eg-1,38,10,0
CWE,Total Solutions,Number of Duplicates,Number of Problematic Solutions
mitre-eg-2,1,0,0
mitre-eg-6,30,21,0
mitre-eg-1,20,13,0
my-eg-1,36,23,0
my-eg-3,41,29,0
my-eg-2,36,22,0
my-eg-1-c,43,16,2
my-eg-1-b,34,21,0
my-eg-1-a,24,11,0
codeql-eg-TarSlip,52,43,2
codeql-eg-Jinja2WithoutEscaping,44,41,0
codeql-eq-ReflectedXss,51,35,1
my-eg-1,29,24,0
my-eg-3,47,15,1
my-eg-2,7,0,0
my-eg-1,38,10,0
my-eg-2,19,10,9
codeql-eg-IncompleteUrlSubstringSanitization,25,7,1
codeql-eg-IncompleteHostnameRegExp,55,50,0
CWE,Total Solutions,Number of Duplicates,Number of Problematic Solutions
mitre-eg-2,1,0,0
mitre-eg-6,30,21,0
mitre-eg-1,20,13,0
my-eg-1,36,23,0
my-eg-3,41,29,0
my-eg-2,36,22,0
my-eg-1-c,43,16,2
my-eg-1-b,34,21,0
my-eg-1-a,24,11,0
codeql-eg-TarSlip,52,43,2
codeql-eg-Jinja2WithoutEscaping,44,41,0
codeql-eq-ReflectedXss,51,35,1
my-eg-1,29,24,0
my-eg-3,47,15,1
my-eg-2,7,0,0
my-eg-1,38,10,0
my-eg-2,19,10,9
codeql-eg-IncompleteUrlSubstringSanitization,25,7,1
codeql-eg-IncompleteHostnameRegExp,55,50,0
CWE,Total Solutions,Number of Duplicates,Number of Problematic Solutions
mitre-eg-2,1,0,0
mitre-eg-6,30,21,0
mitre-eg-1,20,13,0
my-eg-1,36,23,0
my-eg-3,41,29,0
my-eg-2,36,22,0
my-eg-1-c,43,16,2
my-eg-1-b,34,21,0
my-eg-1-a,24,11,0
codeql-eg-TarSlip,52,43,2
codeql-eg-Jinja2WithoutEscaping,44,41,0
codeql-eq-ReflectedXss,51,35,1
my-eg-1,29,24,0
my-eg-3,47,15,1
my-eg-2,7,0,0
my-eg-1,38,10,0
my-eg-2,19,10,9
codeql-eg-IncompleteUrlSubstringSanitization,25,7,1
codeql-eg-IncompleteHostnameRegExp,55,50,0
